id,nama,email,no_hp,tanggal_daftar,status
1,Customer Name 1,user1@gmail.com,08123456001,12/05/2026,banned
2,Customer Name 2,user2@gmail.com,08123456002,2026-05-13,Active
3,Customer Name 3,user3@gmail.com,08123456003,13-05-26,aktive
4,Customer Name 4,user4@gmail.com,08123456004,31/05/2026,aktive
5,Customer Name 5,user5@gmail.com,08123456005,23-05-26,INACTIVE
6,Customer Name 6,user6@gmail.com,08123456006,09/06/2026,Active
7,Customer Name 7,user7@gmail.com,08123456007,2026-06-03,banned
8,Customer Name 8,user8@gmail.com,08123456008,24-05-26,banned
9,Customer Name 9,user9@gmail.com,08123456009,26/05/2026,INACTIVE
10,customer name 10,user10@gmail.com,08123456010,2026-06-01,INACTIVE
11,Customer Name 11,user11@gmail.com,08123456011,05-06-26,active 
12,Customer Name 12,user12@gmail.com,08123456012,22/05/2026,active 
13,Customer Name 13,user13@gmail.com,08123456013,27-05-26,aktive
14,Customer Name 14,user14@gmail.com,08123456014,19-05-26,Active
15,Customer Name 15,user15@gmail.com,08123456015,2026-05-31,Active
16,Customer Name 16,user16@gmail.com,08123456016,2026-06-06,INACTIVE
17,Customer Name 17,user17@gmail.com,08123456017,2026-05-15,aktive
18,Customer Name 18,user18@gmail.com,08123456018,20-05-26,INACTIVE
19,Customer Name 19,user19@gmail.com,08123456019,2026-05-20,INACTIVE
20,customer name 20,user20@gmail.com,08123456020,27-05-26,aktive
21,Customer Name 21,user21@gmail.com,08123456021,2026-05-11,active 
22,Customer Name 22,user22@gmail.com,08123456022,2026-05-23,INACTIVE
23,Customer Name 23,user23@gmail.com,08123456023,2026-05-14,banned
24,Customer Name 24,user24@gmail.com,08123456024,21/05/2026,Active
25,Customer Name 25,user25@gmail.com,08123456025,2026-05-11,INACTIVE
26,Customer Name 26,user26@gmail.com,08123456026,10/05/2026,INACTIVE
27,Customer Name 27,user27@gmail.com,08123456027,2026-06-04,banned
28,Customer Name 28,user28@gmail.com,08123456028,15-05-26,active
29,Customer Name 29,user29@gmail.com,08123456029,25-05-26,INACTIVE
30,customer name 30,user30@gmail.com,08123456030,25/05/2026,active
31,Customer Name 31,user31@gmail.com,08123456031,2026-05-28,INACTIVE
32,Customer Name 32,user32@gmail.com,08123456032,16-05-26,active 
33,Customer Name 33,user33@gmail.com,08123456033,2026-05-25,Active
34,Customer Name 34,user34@gmail.com,08123456034,2026-05-19,banned
35,Customer Name 35,user35@gmail.com,08123456035,29/05/2026,active 
36,Customer Name 36,user36@gmail.com,08123456036,2026-06-06,active 
37,Customer Name 37,user37@gmail.com,08123456037,06/06/2026,banned
38,Customer Name 38,user38@gmail.com,08123456038,03-06-26,banned
39,Customer Name 39,user39@gmail.com,08123456039,14/05/2026,active 
40,customer name 40,user40@gmail.com,08123456040,16/05/2026,active 
41,Customer Name 41,user41@gmail.com,08123456041,2026-06-01,active 
42,Customer Name 42,user42@gmail.com,08123456042,16-05-26,active 
43,Customer Name 43,user43@gmail.com,08123456043,08/06/2026,aktive
44,Customer Name 44,user44@gmail.com,08123456044,22-05-26,INACTIVE
45,Customer Name 45,user45@gmail.com,08123456045,14-05-26,Active
46,Customer Name 46,user46@gmail.com,08123456046,16/05/2026,Active
47,Customer Name 47,user47@gmail.com,08123456047,07-06-26,INACTIVE
48,Customer Name 48,user48@gmail.com,08123456048,03-06-26,active 
49,Customer Name 49,user49@gmail.com,08123456049,2026-05-22,active
50,customer name 50,user49@gmail.com,08123456050,15/05/2026,Active
51,Customer Name 51,user51@gmail.com,08123456051,06/06/2026,INACTIVE
52,Customer Name 52,user52@gmail.com,08123456052,13-05-26,active
53,Customer Name 53,user53@gmail.com,08123456053,2026-05-12,active 
54,Customer Name 54,user54@gmail.com,08123456054,06/06/2026,banned
55,Customer Name 55,user55@gmail.com,08123456055,2026-06-04,active 
56,Customer Name 56,user56@gmail.com,08123456056,05-06-26,active 
57,Customer Name 57,user57@gmail.com,08123456057,2026-06-06,active
58,Customer Name 58,user58@gmail.com,08123456058,2026-06-04,banned
59,Customer Name 59,user59@gmail.com,08123456059,2026-05-21,active 
60,customer name 60,user60@gmail.com,08123456060,2026-05-20,active 
61,Customer Name 61,user61@gmail.com,08123456061,2026-05-25,active 
62,Customer Name 62,user62@gmail.com,08123456062,28/05/2026,banned
63,Customer Name 63,user63@gmail.com,08123456063,2026-05-20,active 
64,Customer Name 64,user64@gmail.com,08123456064,2026-05-27,aktive
65,Customer Name 65,user65@gmail.com,08123456065,03/06/2026,active
66,Customer Name 66,user66@gmail.com,08123456066,2026-06-05,INACTIVE
67,Customer Name 67,user67@gmail.com,08123456067,2026-05-10,aktive
68,Customer Name 68,user68@gmail.com,08123456068,10-05-26,aktive
69,Customer Name 69,user69@gmail.com,08123456069,11-05-26,Active
70,customer name 70,user70@gmail.com,08123456070,2026-05-16,banned
71,Customer Name 71,user71@gmail.com,08123456071,18-05-26,active 
72,Customer Name 72,user72@gmail.com,08123456072,24/05/2026,active
73,Customer Name 73,user73@gmail.com,08123456073,16/05/2026,INACTIVE
74,Customer Name 74,user74@gmail.com,08123456074,18/05/2026,active 
75,Customer Name 75,user75@gmail.com,08123456075,25/05/2026,aktive
76,Customer Name 76,user76@gmail.com,08123456076,05-06-26,banned
77,Customer Name 77,user77@gmail.com,08123456077,19/05/2026,Active
78,Customer Name 78,user78@gmail.com,08123456078,04/06/2026,active 
79,Customer Name 79,user79@gmail.com,08123456079,25-05-26,banned
80,customer name 80,user80@gmail.com,08123456080,28-05-26,INACTIVE
81,Customer Name 81,user81@gmail.com,08123456081,2026-05-27,active 
