id,nama,email,no_hp,tanggal_daftar,status
1,Customer Name 1,user1@gmail.com,08123456001,202012-05-26,banned
2,Customer Name 2,user2@gmail.com,08123456002,202013-05-26,Active
3,Customer Name 3,user3@gmail.com,08123456003,2026-05-13,aktive
4,Customer Name 4,user4@gmail.com,08123456004,202031-05-26,aktive
5,Customer Name 5,user5@gmail.com,08123456005,2026-05-23,INACTIVE
6,Customer Name 6,user6@gmail.com,08123456006,202009-06-26,Active
7,Customer Name 7,user7@gmail.com,08123456007,202003-06-26,banned
8,Customer Name 8,user8@gmail.com,08123456008,2026-05-24,banned
9,Customer Name 9,user9@gmail.com,08123456009,202026-05-26,INACTIVE
10,customer name 10,user10@gmail.com,08123456010,202001-06-26,INACTIVE
11,Customer Name 11,user11@gmail.com,08123456011,2026-06-05,active 
12,Customer Name 12,user12@gmail.com,08123456012,202022-05-26,active 
13,Customer Name 13,user13@gmail.com,08123456013,2026-05-27,aktive
14,Customer Name 14,user14@gmail.com,08123456014,2026-05-19,Active
15,Customer Name 15,user15@gmail.com,08123456015,202031-05-26,Active
16,Customer Name 16,user16@gmail.com,08123456016,202006-06-26,INACTIVE
17,Customer Name 17,user17@gmail.com,08123456017,202015-05-26,aktive
18,Customer Name 18,user18@gmail.com,08123456018,2026-05-20,INACTIVE
19,Customer Name 19,user19@gmail.com,08123456019,202020-05-26,INACTIVE
20,customer name 20,user20@gmail.com,08123456020,2026-05-27,aktive
21,Customer Name 21,user21@gmail.com,08123456021,202011-05-26,active 
22,Customer Name 22,user22@gmail.com,08123456022,202023-05-26,INACTIVE
23,Customer Name 23,user23@gmail.com,08123456023,202014-05-26,banned
24,Customer Name 24,user24@gmail.com,08123456024,202021-05-26,Active
25,Customer Name 25,user25@gmail.com,08123456025,202011-05-26,INACTIVE
26,Customer Name 26,user26@gmail.com,08123456026,202010-05-26,INACTIVE
27,Customer Name 27,user27@gmail.com,08123456027,202004-06-26,banned
28,Customer Name 28,user28@gmail.com,08123456028,2026-05-15,active
29,Customer Name 29,user29@gmail.com,08123456029,2026-05-25,INACTIVE
30,customer name 30,user30@gmail.com,08123456030,202025-05-26,active
31,Customer Name 31,user31@gmail.com,08123456031,202028-05-26,INACTIVE
32,Customer Name 32,user32@gmail.com,08123456032,2026-05-16,active 
33,Customer Name 33,user33@gmail.com,08123456033,202025-05-26,Active
34,Customer Name 34,user34@gmail.com,08123456034,202019-05-26,banned
35,Customer Name 35,user35@gmail.com,08123456035,202029-05-26,active 
36,Customer Name 36,user36@gmail.com,08123456036,202006-06-26,active 
37,Customer Name 37,user37@gmail.com,08123456037,202006-06-26,banned
38,Customer Name 38,user38@gmail.com,08123456038,2026-06-03,banned
39,Customer Name 39,user39@gmail.com,08123456039,202014-05-26,active 
40,customer name 40,user40@gmail.com,08123456040,202016-05-26,active 
41,Customer Name 41,user41@gmail.com,08123456041,202001-06-26,active 
42,Customer Name 42,user42@gmail.com,08123456042,2026-05-16,active 
43,Customer Name 43,user43@gmail.com,08123456043,202008-06-26,aktive
44,Customer Name 44,user44@gmail.com,08123456044,2026-05-22,INACTIVE
45,Customer Name 45,user45@gmail.com,08123456045,2026-05-14,Active
46,Customer Name 46,user46@gmail.com,08123456046,202016-05-26,Active
47,Customer Name 47,user47@gmail.com,08123456047,2026-06-07,INACTIVE
48,Customer Name 48,user48@gmail.com,08123456048,2026-06-03,active 
49,Customer Name 49,user49@gmail.com,08123456049,202022-05-26,active
50,customer name 50,user49@gmail.com,08123456050,202015-05-26,Active
51,Customer Name 51,user51@gmail.com,08123456051,202006-06-26,INACTIVE
52,Customer Name 52,user52@gmail.com,08123456052,2026-05-13,active
53,Customer Name 53,user53@gmail.com,08123456053,202012-05-26,active 
54,Customer Name 54,user54@gmail.com,08123456054,202006-06-26,banned
55,Customer Name 55,user55@gmail.com,08123456055,202004-06-26,active 
56,Customer Name 56,user56@gmail.com,08123456056,2026-06-05,active 
57,Customer Name 57,user57@gmail.com,08123456057,202006-06-26,active
58,Customer Name 58,user58@gmail.com,08123456058,202004-06-26,banned
59,Customer Name 59,user59@gmail.com,08123456059,202021-05-26,active 
60,customer name 60,user60@gmail.com,08123456060,202020-05-26,active 
61,Customer Name 61,user61@gmail.com,08123456061,202025-05-26,active 
62,Customer Name 62,user62@gmail.com,08123456062,202028-05-26,banned
63,Customer Name 63,user63@gmail.com,08123456063,202020-05-26,active 
64,Customer Name 64,user64@gmail.com,08123456064,202027-05-26,aktive
65,Customer Name 65,user65@gmail.com,08123456065,202003-06-26,active
66,Customer Name 66,user66@gmail.com,08123456066,202005-06-26,INACTIVE
67,Customer Name 67,user67@gmail.com,08123456067,202010-05-26,aktive
68,Customer Name 68,user68@gmail.com,08123456068,2026-05-10,aktive
69,Customer Name 69,user69@gmail.com,08123456069,2026-05-11,Active
70,customer name 70,user70@gmail.com,08123456070,202016-05-26,banned
71,Customer Name 71,user71@gmail.com,08123456071,2026-05-18,active 
72,Customer Name 72,user72@gmail.com,08123456072,202024-05-26,active
73,Customer Name 73,user73@gmail.com,08123456073,202016-05-26,INACTIVE
74,Customer Name 74,user74@gmail.com,08123456074,202018-05-26,active 
75,Customer Name 75,user75@gmail.com,08123456075,202025-05-26,aktive
76,Customer Name 76,user76@gmail.com,08123456076,2026-06-05,banned
77,Customer Name 77,user77@gmail.com,08123456077,202019-05-26,Active
78,Customer Name 78,user78@gmail.com,08123456078,202004-06-26,active 
79,Customer Name 79,user79@gmail.com,08123456079,2026-05-25,banned
80,customer name 80,user80@gmail.com,08123456080,2026-05-28,INACTIVE
81,Customer Name 81,user81@gmail.com,08123456081,202027-05-26,active 
82,Customer Name 82,user82@gmail.com,08123456082,2026-05-30,aktive
83,Customer Name 83,user83@gmail.com,08123456083,2026-05-26,aktive
84,Customer Name 84,user84@gmail.com,08123456084,2026-05-13,active
85,Customer Name 85,user85@gmail.com,08123456085,2026-05-29,Active
86,Customer Name 86,user86@gmail.com,08123456086,202018-05-26,Active
